Country Name;Country Code;Series Name;Series Code;2021 [YR2021]
Belize;BLZ;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;79,375
Belize;BLZ;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,009478196
Benin;BEN;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;8,43373494
Benin;BEN;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;55,9
Benin;BEN;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;62,277
Benin;BEN;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;7,155451646
Benin;BEN;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;80,625
Benin;BEN;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;0,550883649
Bermuda;BMU;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;..
Bermuda;BMU;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;..
Bermuda;BMU;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;..
Bermuda;BMU;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;3,013816439
Bermuda;BMU;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;..
Bermuda;BMU;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Bhutan;BTN;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;17,0212766
Bhutan;BTN;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;52,9
Bhutan;BTN;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;61,111
Bhutan;BTN;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;4,087618878
Bhutan;BTN;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;75
Bhutan;BTN;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Bolivia;BOL;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;46,15384615
Bolivia;BOL;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;57,599
Bolivia;BOL;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;68,08
Bolivia;BOL;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;6,105804204
Bolivia;BOL;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;88,75
Bolivia;BOL;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,411119588
Bosnia and Herzegovina;BIH;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;26,19047619
Bosnia and Herzegovina;BIH;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;39,63
Bosnia and Herzegovina;BIH;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;49,869
Bosnia and Herzegovina;BIH;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;7,391652626
Bosnia and Herzegovina;BIH;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;85
Bosnia and Herzegovina;BIH;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;0,929365426
Botswana;BWA;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;10,76923077
Botswana;BWA;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;59,196
Botswana;BWA;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;64,297
Botswana;BWA;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;11,87035831
Botswana;BWA;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;63,75
Botswana;BWA;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;3,045569324
Brazil;BRA;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;15,20467836
Brazil;BRA;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;51,979
Brazil;BRA;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;61,91
Brazil;BRA;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;4,988849701
Brazil;BRA;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;85
Brazil;BRA;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,163682111
British Virgin Islands;VGB;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;..
British Virgin Islands;VGB;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;..
British Virgin Islands;VGB;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;..
British Virgin Islands;VGB;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;..
British Virgin Islands;VGB;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;..
British Virgin Islands;VGB;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Brunei Darussalam;BRN;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;9,090909091
Brunei Darussalam;BRN;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;55,079
Brunei Darussalam;BRN;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;64,015
Brunei Darussalam;BRN;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-1,59076248
Brunei Darussalam;BRN;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;53,125
Brunei Darussalam;BRN;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;3,236367482
Bulgaria;BGR;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;23,75
Bulgaria;BGR;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;49,034
Bulgaria;BGR;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;55,26
Bulgaria;BGR;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;7,634609716
Bulgaria;BGR;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;90,625
Bulgaria;BGR;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,51713161
Burkina Faso;BFA;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;6,299212598
Burkina Faso;BFA;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;58,034
Burkina Faso;BFA;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;65,349
Burkina Faso;BFA;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;6,906341673
Burkina Faso;BFA;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;82,5
Burkina Faso;BFA;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;2,401943091
Burundi;BDI;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;38,21138211
Burundi;BDI;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;80,693
Burundi;BDI;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;79,11
Burundi;BDI;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;3,099999999
Burundi;BDI;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;76,25
Burundi;BDI;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;2,043009763
Cabo Verde;CPV;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;38,88888889
Cabo Verde;CPV;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;48,876
Cabo Verde;CPV;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;55,302
Cabo Verde;CPV;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;6,811176432
Cabo Verde;CPV;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;86,25
Cabo Verde;CPV;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;0,579317677
Cambodia;KHM;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;21,6
Cambodia;KHM;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;69,677
Cambodia;KHM;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;75,784
Cambodia;KHM;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;3,026389363
Cambodia;KHM;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;81,25
Cambodia;KHM;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;2,347342464
Cameroon;CMR;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;33,88888889
Cameroon;CMR;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;66,892
Cameroon;CMR;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;71,29
Cameroon;CMR;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;3,649916886
Cameroon;CMR;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;60
Cameroon;CMR;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;0,978117031
Canada;CAN;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;30,47337278
Canada;CAN;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;60,622
Canada;CAN;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;65,07
Canada;CAN;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;5,011800875
Canada;CAN;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;100
Canada;CAN;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,267294465
Cayman Islands;CYM;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;..
Cayman Islands;CYM;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;..
Cayman Islands;CYM;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;..
Cayman Islands;CYM;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;4,028664289
Cayman Islands;CYM;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;..
Cayman Islands;CYM;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Central African Republic;CAF;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;12,85714286
Central African Republic;CAF;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;63,195
Central African Republic;CAF;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;70,209
Central African Republic;CAF;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;0,900000007
Central African Republic;CAF;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;76,875
Central African Republic;CAF;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;2,150345561
Chad;TCD;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;32,25806452
Chad;TCD;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;48,15
Chad;TCD;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;59,322
Chad;TCD;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-1,199990525
Chad;TCD;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;66,25
Chad;TCD;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;2,808269528
Channel Islands;CHI;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;..
Channel Islands;CHI;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;51,615
Channel Islands;CHI;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;58,468
Channel Islands;CHI;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;8,646769717
Channel Islands;CHI;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;..
Channel Islands;CHI;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Chile;CHL;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;35,48387097
Chile;CHL;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;46,223
Chile;CHL;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;57,13
Chile;CHL;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;11,73743107
Chile;CHL;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;80
Chile;CHL;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,932286917
China;CHN;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;24,94117647
China;CHN;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;61,306
China;CHN;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;67,11
China;CHN;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;8,447478293
China;CHN;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;75,625
China;CHN;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,613073864
Colombia;COL;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;18,82352941
Colombia;COL;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;51,693
Colombia;COL;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;64,33
Colombia;COL;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;11,01619327
Colombia;COL;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;84,375
Colombia;COL;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;3,237589104
Comoros;COM;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;16,66666667
Comoros;COM;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;32,904
Comoros;COM;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;43,817
Comoros;COM;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;2,112195577
Comoros;COM;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;65
Comoros;COM;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Congo, Dem. Rep.;COD;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;12,8
Congo, Dem. Rep.;COD;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;62,524
Congo, Dem. Rep.;COD;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;65,768
Congo, Dem. Rep.;COD;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;6,200154011
Congo, Dem. Rep.;COD;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;78,75
Congo, Dem. Rep.;COD;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;0,542970229
